Body_1_x,Body_1_vx,Body_1_y,Body_1_vy,Body_2_x,Body_2_vx,Body_2_y,Body_2_vy,Body_3_x,Body_3_vx,Body_3_y,Body_3_vy
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,-1.0,0.0,0.0,0.0
0.9999985923414981,-0.0018774429629420113,1.6918130169138976e-10,3.385830722090559e-07,0.0015001522656836325,1.0000045009234575,0.0004500446668975294,0.2999993248594796,-0.9999985945921802,0.0018729420394847074,1.6842161875947693e-10,3.3655744816529985e-07
0.9999943648421207,-0.0037594168847532752,1.3565090466572403e-09,1.3584167358540428e-06,0.0030003180356279985,1.000018003973704,0.0009000873081379305,0.29999729937191477,-0.9999943828477457,0.0037414129110493145,1.3443539226555621e-09,1.3422113493571885e-06
0.9999873106820438,-0.005645952084276225,4.588586146346189e-09,3.0656780596040678e-06,0.004500510814933568,1.0000405099904186,0.0013501258978660352,0.29999392333927744,-0.9999873714519729,0.005605442093857807,4.527049168048848e-09,3.010982662953862e-06
0.9999774229957462,-0.007537079167394852,1.0901332926032644e-08,5.466612120883751e-06,0.006000744110380445,1.0000720203732458,0.0018001584098305465,0.2999891964314645,-0.9999775670461207,0.007465058794149112,1.0706838326997171e-08,5.336956414637033e-06
0.9999646948715754,-0.009432829030702139,2.13400899175745e-08,8.567533034632095e-06,0.007501031431268591,1.0001125370820692,0.0022501828171858458,0.29998311818621315,-0.9999649762278365,0.009320291948633014,2.0865226486099868e-08,8.314280752202286e-06
0.999949119351309,-0.011333232865224882,3.6959722208900525e-08,1.2374825000037185e-05,0.009001386290258538,1.0001620626373902,0.0027001970922936494,0.29997568800898267,-0.9999496055515587,0.011171170227834698,3.597498684088817e-08,1.1937166017277124e-05
0.9999306894297103,-0.013238322160207032,5.88247253774732e-08,1.689494336562039e-05,0.01050182220421275,1.000220600120818,0.0031501992065244623,0.2999669051728017,-0.9999314615289127,0.013017722039388908,5.7000253309386327e-08,1.6199883832628976e-05
0.9999093980540779,-0.015148128706952656,8.800933303553946e-08,2.2134415713052613e-05,0.01200235269503781,1.000288153175668,0.0036001871300587757,0.29995676881808214,-0.9999105506291037,0.014859975531284588,8.489661178799666e-08,2.109676620475262e-05
0.9998852381237895,-0.017062684602729642,1.2559762601556315e-07,2.809984296009399e-05,0.013502991290527575,1.0003647260076687,0.0040501588316879614,0.2999452779523984,-0.9998868792793036,0.016697958595060958,1.2061119007240217e-07,2.662220464143362e-05
0.9998582024898404,-0.01898202225473534,1.726836432248264e-07,3.479790048305823e-05,0.015003751525207486,1.0004503233857795,0.004500112278614809,0.29993243145023285,-0.999860453865033,0.018531698868955858,1.650827464657287e-07,3.2770649283990904e-05
0.999828283954375,-0.020906174384125308,2.30371494198797e-07,4.2235339259211996e-05,0.016504646941180173,1.000544950643118,0.004950045436253654,0.29991822805268675,-0.9998312807305387,0.020361223741007278,2.192417570957698e-07,3.9536608053908584e-05
0.9997954752702131,-0.02283517403010636,2.9977547338348145e-07,5.041898702952964e-05,0.01800569108897255,1.0006486136779975,0.005399956268030052,0.2999026663671568,-0.9997993661791678,0.02218656035210885,2.8401050196264673e-07,4.691464581357347e-05
0.9997597691403697,-0.02476905455409523,3.820201761776201e-07,5.935574948223409e-05,0.01950689752838453,1.000761318955075,0.0058498427351799335,0.29988574486697683,-0.9997647164737348,0.024007735599020218,3.6030314973785554e-07,5.489938354084088e-05
0.9997211582175681,-0.02670784964394399,4.782406167662378e-07,6.905261145756433e-05,0.02100827982933956,1.000883073506611,0.006299702796548197,0.2998674618910252,-0.9997273378368867,0.025824776137332955,4.490258413352405e-07,6.348549751715773e-05
0.9996796351037476,-0.028651593318233706,5.89582347777731e-07,7.951663817422184e-05,0.02250985157273714,1.0010138849338406,0.0067495344083866975,0.2998478156432967,-0.9996872364514622,0.027637708384393028,5.510767722740355e-07,7.266771852897818e-05
0.9996351923495632,-0.030600319930637457,7.17201581797354e-07,9.075497647795766e-05,0.024011626351307443,1.001153761408457,0.007199335524151547,0.29982680419243973,-0.9996444184608466,0.029446558522180383,6.673462738537139e-07,8.244083108221206e-05
0.9995878224538807,-0.03255406417435426,8.622653147706811e-07,0.00010277485611277476,0.02551361777046829,1.0013027116742075,0.007649104094299717,0.2998044254712577,-0.9995988899693234,0.03125135250014654,7.98716893160014e-07,9.279967262945301e-05
0.9995375178632631,-0.03451286108661515,1.0259514513313247e-06,0.00011558359101523077,0.027015839449184585,1.001460745048604,0.008098838066084845,0.29978067727617497,-0.9995506570424206,0.03305211603801088,9.460634719211177e-07,0.0001037391328097382
0.9994842709714513,-0.036476746053262864,1.2094489320879388e-06,0.00012918858063233827,0.028518305020830387,1.0016278714247462,0.008548535383352226,0.299755557266667,-0.9994997257072532,0.034848874628516414,1.110253224232603e-06,0.00011525415270059715
0.999428074118838,-0.0384457548134067,1.4139578629062928e-06,0.00014359731126357324,0.03002102813405384,1.0018041012732608,0.008998193986332921,0.29972906296465424,-0.9994461019528619,0.0366416535401457,1.2921458131694302e-06,0.00012733972408215277
0.9993689195919339,-0.04041992346415383,1.6406896462229604e-06,0.00015881735742751218,0.03152402245364505,1.001989445644356,0.009447811811436922,0.2997011917538594,-0.9993897917305474,0.03843047781979759,1.4925934263028575e-06,0.00013999088871304174
0.9993067996228269,-0.042399288465418794,1.8908671144279853e-06,0.00017485638325363516,0.03302730166140718,1.002183916169993,0.00989738679104533,0.2996719408791284,-0.999330800954201,0.04021537229542561,1.7124408501398583e-06,0.00015320273761792858
